iter	Passed	Remaining
455	843	1006
456	845	1004
457	847	1002
458	848	1000
459	850	998
460	852	996
461	855	995
462	857	994
463	859	993
464	861	990
465	862	988
466	864	986
467	865	984
468	867	981
469	868	979
470	869	976
471	871	975
472	874	974
473	876	972
474	877	970
475	879	967
476	880	965
477	882	963
478	883	961
479	885	959
480	887	957
481	888	955
482	890	952
483	891	950
484	893	948
485	895	947
486	896	944
487	898	942
488	899	940
489	902	938
490	903	936
491	904	934
492	906	931
493	907	929
494	909	927
495	910	925
496	912	923
497	913	920
498	915	919
499	917	917
500	918	915
501	920	912
502	921	910
503	922	908
504	924	906
505	926	904
506	928	902
507	929	900
508	931	898
509	932	896
510	934	894
511	935	891
512	937	889
513	938	887
514	939	884
515	941	882
516	942	880
517	943	878
518	945	876
519	947	874
520	948	872
521	949	869
522	950	867
523	952	865
524	953	862
525	954	860
526	956	858
527	957	855
528	959	853
529	960	851
530	961	849
531	963	847
532	964	845
533	965	842
534	966	840
535	968	838
536	969	835
537	970	833
538	972	831
539	973	829
540	975	827
541	976	825
542	977	822
543	979	820
544	980	818
545	981	816
546	982	813
547	984	811
548	985	809
549	986	807
550	988	805
551	989	803
552	991	801
553	992	799
554	993	796
555	995	794
556	996	792
557	997	790
558	998	787
559	999	785
560	1001	783
561	1002	781
562	1004	779
563	1005	777
564	1007	775
565	1008	773
566	1009	770
567	1010	768
568	1011	766
569	1013	764
570	1014	762
571	1015	760
572	1017	758
573	1018	756
574	1020	754
575	1021	751
576	1022	749
577	1023	747
578	1025	745
579	1026	743
580	1027	741
581	1028	738
582	1030	736
583	1031	734
584	1033	733
585	1035	731
586	1036	729
587	1037	727
588	1039	725
589	1040	722
590	1041	720
591	1042	718
592	1043	716
593	1045	714
594	1046	712
595	1048	710
596	1049	708
597	1051	706
598	1052	704
599	1053	702
600	1054	700
601	1056	698
602	1057	696
603	1058	694
604	1059	692
605	1061	689
606	1064	688
607	1065	687
608	1067	685
609	1068	682
610	1069	680
611	1070	678
612	1071	676
613	1073	674
614	1074	672
615	1075	670
616	1077	668
617	1079	667
618	1080	665
619	1081	662
620	1083	660
621	1084	658
622	1085	656
623	1086	654
624	1087	652
625	1089	650
626	1090	648
627	1092	646
628	1093	645
629	1095	643
630	1096	641
631	1097	639
632	1098	637
633	1099	634
634	1101	632
635	1102	630
636	1103	628
637	1104	626
638	1106	625
639	1108	623
640	1109	621
641	1110	619
642	1111	617
643	1112	615
644	1114	613
645	1115	611
646	1116	609
647	1118	607
648	1119	605
649	1121	604
650	1123	602
651	1124	600
652	1125	598
653	1127	596
654	1128	594
655	1129	592
656	1130	590
657	1132	588
658	1133	586
659	1134	584
660	1136	582
661	1137	580
662	1139	579
663	1140	577
664	1141	575
665	1142	573
666	1143	571
667	1145	569
668	1146	567
669	1147	565
670	1148	563
671	1150	561
672	1152	559
673	1153	557
674	1154	556
675	1156	554
676	1157	552
677	1158	550
678	1159	548
679	1161	546
680	1162	544
681	1164	542
682	1165	541
683	1167	539
684	1168	537
685	1169	535
686	1170	533
687	1171	531
688	1173	529
689	1174	527
690	1175	525
691	1177	523
692	1178	522
693	1180	520
694	1181	518
695	1183	516
696	1184	514
697	1185	512
698	1186	511
699	1188	509
700	1189	507
701	1190	505
702	1191	503
703	1193	501
704	1194	499
705	1195	498
706	1197	496
707	1198	494
708	1199	492
709	1201	490
710	1202	488
711	1203	486
712	1204	485
713	1206	483
714	1207	481
715	1209	479
716	1210	477
717	1212	476
718	1213	474
719	1214	472
720	1215	470
721	1217	468
722	1218	466
723	1219	465
724	1221	463
725	1222	461
726	1224	459
727	1225	458
728	1227	456
729	1228	454
730	1229	452
731	1230	450
732	1232	448
733	1233	447
734	1234	445
735	1235	443
736	1237	441
737	1238	439
738	1241	438
739	1242	436
740	1244	434
741	1245	433
742	1246	431
743	1248	429
744	1249	427
745	1250	425
746	1252	424
747	1254	422
748	1255	420
749	1256	418
750	1258	417
751	1259	415
752	1260	413
753	1261	411
754	1263	409
755	1264	408
756	1265	406
757	1266	404
758	1268	402
759	1269	401
760	1271	399
761	1272	397
762	1273	395
763	1275	393
764	1276	392
765	1277	390
766	1278	388
767	1279	386
768	1281	384
769	1283	383
770	1284	381
771	1286	379
772	1287	378
773	1288	376
774	1289	374
775	1290	372
776	1292	370
777	1293	369
778	1294	367
779	1295	365
780	1297	363
781	1299	362
782	1300	360
783	1301	358
784	1302	356
785	1303	355
786	1305	353
787	1306	351
788	1307	349
789	1308	347
790	1310	346
791	1311	344
792	1312	342
793	1314	341
794	1315	339
795	1316	337
796	1318	335
797	1319	333
798	1320	332
799	1321	330
800	1322	328
801	1323	326
802	1325	325
803	1326	323
804	1328	321
805	1329	320
806	1330	318
807	1332	316
808	1333	314
809	1334	313
810	1335	311
811	1336	309
812	1338	307
813	1339	306
814	1341	304
815	1342	302
816	1344	301
817	1345	299
818	1346	297
819	1347	295
820	1348	294
821	1349	292
822	1351	290
823	1352	288
824	1353	287
825	1354	285
826	1356	283
827	1358	282
828	1359	280
829	1360	278
830	1361	276
831	1362	275
832	1364	273
833	1365	271
834	1366	270
835	1367	268
836	1369	266
837	1371	265
838	1372	263
839	1374	261
840	1375	260
841	1376	258
842	1377	256
843	1379	254
844	1380	253
845	1381	251
846	1382	249
847	1383	248
848	1385	246
849	1387	244
850	1388	243
851	1389	241
852	1390	239
853	1391	237
854	1393	236
855	1394	234
856	1395	232
857	1396	231
858	1398	229
859	1399	227
860	1400	226
861	1402	224
862	1403	222
863	1404	221
864	1405	219
